Denumirea străzii;Numerele caselor;Codul  poştal
Măceşilor;toate;MD-2028
Măgurele;toate;MD-2070
Mălăieşti;toate;MD-2023
Mălina Mare;28-46, 39-49;MD-2038
Mălina Mică;toate;MD-2025
Str-la Mălina Mică;toate;MD-2025
Todeus Malinovschi;toate;MD-2019
Mărăşeşti;toate;MD-2028
Mărţişor;toate;MD-2028
Măzărachi;toate;MD-2005
Melestiu;14/3,14/4,16,18,20,20/2,22a,24;MD-2001
Melestiu;2-12, 11-15;MD-2038
Memoriei;toate;MD-2049
Memoriei;toate;MD-2049
Gheorghe Meniuc;toate;MD-2009
Mereni;toate;MD-2023
Str-la Mereni;toate;MD-2023
Mereşeni;toate;MD-2001
Mesager;toate;MD-2069
Meşterul Manole;1-sf, 6/2;MD-2023
Meşterul Manole;4-sf, (cu ex. 6/2);MD-2044
Veronica Micle;toate;MD-2012
Milano;toate;MD-2069
Mileşti;1-31, 2-54;MD-2001
Minsk;1-43, 2-22;MD-2002
Minsk;45-sf., 24-sf.;MD-2015
Mioriţa;1-11, 2-20, 30;MD-2028
Mioriţa; 60-216,;MD-2019
Mircea cel Bătrîn;1-15, 2-22;MD-2044
Mircea cel Bătrîn;17-sf, 22/5, 24-sf.;MD-2075
Mirceşti;toate;MD-2049
Mitropolit  Gavriil Bănulescu Bodoni;11-53, 4-24;MD-2012
Mitropolit Gavriil Bănulescu Bodoni;1-9, 2;MD-2009
MitropolitGavriil  Bănulescu Bodoni;26-sf.,  57-sf.;MD-2005
Mitropolit Dosoftei;79-85, 100-114;MD-2012
Mitropolit Dosoftei;87-sf..,118-sf.;MD-2004
Mitropolit Gurie Grosu;1-15, 2-12;MD-2028
Mitropolit Gurie Grosu;14-sf.,17-sf.;MD-2021
Mitropolit Petru Movilă;toate;MD-2004
Mitropolit Varlaam;39-63, 24-56;MD-2001
Mitropolit Varlaam;65-sf, 74-sf;MD-2012
Moara Roşie;toate;MD-2005
Moldoviţa;19-21;MD-2020
Moldoviţa;2-28, 23-45;MD-2059
Moldoviţa(Străşeni);Asociaţii;MD-2075
Moldoviţa, str-la;toate;MD-2001
Molocanilor;toate;MD-2019
Str-la Molocanilor, 1;toate;MD-2019
Montană;toate;MD-2059
Nicolae Moroşanu;toate;MD-2009
Dumitru Moruzi;toate;MD-2019
bd.Moscova;18-sf;MD-2045
bd. Moscova;1-sf, 2-16;MD-2068
Movila lui Burcel;toate;MD-2005
Movileni;toate;MD-2023
Str-la Movileni;toate;MD-2023
Munceşti;807;Sîngera
Munceşti;15-29, 46-62;MD-2001
Munceşti;293-803, 600-814 cu ex. 780 a;MD-2029
Munceşti;31-273 , 66-426,;MD-2002
Munceşti;780 a;MD-2026
Str-la Munceşti;toate;MD-2002
Simeon Murafa;toate;MD-2002
Murelor;toate;MD-2051
Andrei Mureşanu;toate;MD-2032
Gavriil Musicescu;toate;MD-2064
Musatinilor;toate;MD-2071
Navigatorilor;2-sf, 17-sf;MD-2026
Vasile Nauc (Codru);toate;MD-2019
Ştefan Neaga;1-51, 2-46/1;MD-2008
Ştefan Neaga;53-sf, 48-sf;MD-2064
Str-la Ştefan Neaga;toate;MD-2064
Ion Neculce;1-5;MD-2069
