Tip;calificativ;Denumirea străzii;Numerele caselor;Codul  poştal
Strada;;Hipodromului;toate;MD-2059
Strada;;Alexandru Hîjdeu;29-63, 34-98, 98/1;MD-2001
Strada;;Alexandru Hîjdeu;71-sf, 102-sf;MD-2005
Strada;;Iacob Hîncu;toate;MD-2005
Strada;;Ştefan Holban;toate;MD-2002
Strada;;Horea;toate;MD-2019
Strada;;Hotarul Satului;toate;MD-2002
Strada;;Hotin;toate;MD-2059
Strada;;Hruşca;1-sf, 2-sf;MD-2038
Strada;;Humuleşti;toate;MD-2008
Strada;;Ghenadie Iablocikin;5, 2;MD-2069
Strada;;Ialoveni;toate;MD-2070
Strada;;Avram Iancu;toate;MD-2001
Strada;;Iazului;toate;MD-2020
Strada;;Ierusalim;toate;MD-2005
Strada;;Imaşului;toate;MD-2029
Strada;;Ion Inculeţ;1-37, 4-48;MD-2001
Strada;;Ion Inculeţ;41-101, 50-78, 105-105/4;MD-2025
Strada;;Independenţei;1-5, 2/1-16;MD-2043
Strada;;Independenţei;1a, 2;MD-2019
Strada;;Independenţei;26, 26/2, 28-sf;MD-2072
Strada;;Independenţei;7/1-9/4, 18-24/3, 15;MD-2060
Strada;;Industrială;toate;MD-2023
Strada;;Nicolae Iorga;1-5, 2-10;MD-2009
Strada;;Nicolae Iorga;7-sf, 12-sf;MD-2012
Strada;;Vlad Ioviţă;toate;MD-2072
Strada;;Ipoteşti;toate;MD-2049
Strada;;Irişilor;toate;MD-2075
Strada;;Magda Isanos;1-7, 2-10;MD-2059
Strada;;Magda Isanos;7a-sf, 12-sf;MD-2020
Strada;;Ismail;97-113,  112-116/10;MD-2023
Strada;;Ismail;1, 9-77, 81, 16-108;MD-2001
Strada;;Istra;toate;MD-2002
Strada;;Lidia Istrati;toate;MD-2045
Strada;;Işnovăţ;toate;MD-2023
Strada;;Izvoarelor;toate;MD-2028
Strada;;Andrei Izbaş;toate;MD-2044
Strada;;Înălţării;toate;MD-2002
Strada;;Învierii;toate;MD-2002
Strada;Pictor;Ion Jumati;toate;MD-2062
Strada;;Junimea;toate;MD-2001
Strada;;Jubiliară;toate;MD-2019
Strada;;Mihai Juraveli;toate;MD-2019
Strada;;Lech Kaczynski;1-5;MD-2028
Strada;;Kiev;toate;MD-2068
Strada;;Mihai Kogălniceanu;1-29, 2-28;MD-2001
Strada;;Mihai Kogălniceanu;31-39, 30-34, 80;MD-2012
Strada;;Mihai Kogălniceanu;41-93,36-92;MD-2009
Strada;;Vladimir Komarov;toate;MD-2059
Strada;;Vladimir Korolenco;1-7, 2-6;MD-2028
Strada;;Vladimir Korolenco;8, 53-63 ,10, 12;MD-2025
Strada;;V. Kovtun;toate;MD-2070
Strada;;Lacului;toate;MD-2009
Strada;;Lalelelor;toate;MD-2059
Strada;;Maria Lătăreţu;toate;MD-2008
Strada;;Serghei Lazo;1, 1/1;MD-2009
Strada;;Serghei Lazo;toate (cu ex.1, 1/1);MD-2004
Strada;;Lămăiţei;toate;MD-2028
Strada;;Alexandru Lăpuşneanu;toate;MD-2004
Strada;;Lăpuşnei;toate;MD-2009
Strada;;Maria Lătăreţu;toate;MD-2008
Strada;;Barbu Lăutaru;toate;MD-2008
Strada;;Mihail Lermontov;toate;MD-2070
Strada;;Petru Leşcenco;toate;MD-2045
Strada;;Leuşeni;toate;MD-2002
Strada;;Liliacului;toate;MD-2059
Strada;;Dinu Lipatti;toate;MD-2002
Strada;;Lipcani;toate;MD-2051
Strada;;Lisabona;toate;MD-2064
Strada;;Livădarilor;1-185;MD-2028
Strada;;Livădarilor;187 sf.;MD-2019
Strada;;Ioan Livescu;toate;MD-2064
Strada;;Mihail Lomonosov;1-47, 2-26;MD-2009
Strada;;Mihail Lomonosov;49,51, 38-42;MD-2028
